US Election,GE11,GE12,GE13S,GE13,GE14,GE15
7325,,,545,,795,23475
1438,,,116,,17545,10398
166,,,105,,7640,4603
38,,,10588,,2234,849
6096,,,10537,,14208,653
1575,,,545,,1880,628
101,,,116,,978,575
25,,,105,,14204,137
4362,,,10351,,3927,112
1126,,,2767,,2020,46031
144,,,0,,14141,25335
26,,,19476,,8321,19595
3875,,,14612,,538,987
815,,,19138,,5834,576
71,,,15903,,4775,216
11,,,812,,3942,68438
10082,,,10090,,12517,8754
3015,,,3792,,4401,8304
144,,,0,,3802,34434
41,,,0,,11848,22270
1533,,,6590,,10859,16333
204,,,4426,,11402,953
21,,,23628,,2728,492
7,,,8663,,10538,282
10213,,,8238,,2043,25042
1888,,,4590,,16327,20410
165,,,19354,,13757,14518
60,,,14138,,392,888
3521,,,7996,,16327,43827
1106,,,3952,,13757,4850
45,,,6427,,392,4259
23,,,5751,,10105,35359
5784,,,8526,,8174,21447
1237,,,,,9552,19098
113,,,,,5240,810
18,,,,,29905,73234
3472,,,,,15359,6047
900,,,,,628,6032
51,,,,,33811,1276
15,,,,,22389,865
4416,,,,,377,60294
1239,,,,,176,5846
70,,,,,13853,5606
24,,,,,6853,43476
7372,,,,,11228,33659
1880,,,,,10742,15886
139,,,,,14302,16002
65,,,,,3823,13692
5338,,,,,11834,5988
1723,,,,,5519,878
89,,,,,27076,63
26,,,,,20054,20
22031,,,,,328,21805
5692,,,,,12214,13680
457,,,,,8538,9596
104,,,,,1617,253
6900,,,,,35739,30138
2759,,,,,22076,24281
146,,,,,12171,16722
40,,,,,10181,654
3770,,,,,12589,63916
840,,,,,4879,33075
60,,,,,10037,24584
18,,,,,4037,1336
6512,,,,,176,373
927,,,,,18503,21423
73,,,,,17144,14940
22,,,,,1432,11560
3963,,,,,13033,406
769,,,,,11259,333
61,,,,,7113,81434
25,,,,,2501,19447
4030,,,,,23429,18810
1490,,,,,19167,53075
56,,,,,2092,33178
23,,,,,1410,21875
7595,,,,,22494,779
1630,,,,,14870,529
105,,,,,2611,42013
31,,,,,2311,18412
13645,,,,,1357,18235
4876,,,,,28420,1084
339,,,,,15436,441
131,,,,,2958,23283
13408,,,,,971,22007
5621,,,,,31632,14962
405,,,,,7546,781
76,,,,,3132,25604
5727,,,,,14106,21193
1810,,,,,11767,7445
101,,,,,2434,507
26,,,,,1755,28178
29616,,,,,728,27288
26293,,,,,32470,17211
971,,,,,8997,323
251,,,,,1196,37406
12319,,,,,445,28557
2475,,,,,17394,25095
237,,,,,17069,702
41,,,,,892,267
10261,,,,,481,39418
3599,,,,,11942,30780
308,,,,,11786,23549
97,,,,,1300,739
1984,,,,,11354,73995
323,,,,,8023,27575
15,,,,,7835,20686
8,,,,,12038,925
4351,,,,,11186,27893
1216,,,,,1547,27571
57,,,,,14880,21674
9,,,,,13804,460
7842,,,,,3148,23437
2532,,,,,1110,17768
247,,,,,13286,8385
81,,,,,13241,1062
7964,,,,,12742,18941
3279,,,,,433,17207
221,,,,,248,11612
89,,,,,199,339
2501,,,,,11363,138
633,,,,,10230,16133
66,,,,,645,13300
